model,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2
ANN/MLP,32.75853735239422,32.51222564180672,43.305601528501995,43.37764030916816,0.9951291094648627,0.9952189943216101
Gradient Boosting,42.55725332493475,47.96992793336295,57.58912228988189,64.99240497593277,0.9913860739745982,0.989267210077734
Random Forest,27.27927917441664,60.46104803022362,36.75529376275843,79.27330572533826,0.9964911886832906,0.984032337276715
Linear Regression,99.97548992724167,97.27765177296425,137.8328556539724,137.0173787707123,0.9506569799725505,0.9522977655124698
